순위,class,RII,RII_plus,해석,Δ분산,Δ평균거리,RCI,Yaw_impact,Pitch_impact,Roll_impact,축_불균형
12,ㅍ,0.3917085477689969,0.3637355602963248,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.14484733669922462,0.85929686474973,0.43496635559805125,0.15746750479084437,0.7386180903516176,0.4666429769095153,0.29077366283453676
13,ㅅ,0.33333008260233743,0.3231592549966961,회전이 **거의 영향을 주지 않음**. 주로 **좌우 방향(yaw)** 변화에 민감한 클래스.,-0.09777558498645669,0.9297294461522213,0.4315072686149822,0.5175388272038566,0.535624242144,0.346695836223106,0.10424998190616634
14,ㄷ,0.3340166906562305,0.3072913387725248,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.11607704489044485,0.8830758766622173,0.42525343416330263,0.46102747089285756,0.6029256645162332,0.3619271562132668,0.12113095580639566
15,ㅠ,0.34899988278496286,0.3039437542940685,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.13060197654250552,0.8310099440442023,0.4143594440340092,0.2564194802694493,0.6459165881448494,0.40590258243202376,0.19649423987052145
16,ㅕ,0.3134813940776003,0.22622828624154262,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.1330565829145118,0.7149173080445227,0.37020809018820305,0.1930086912709291,0.5492855341766617,0.4278260063927133,0.1811191031528605
17,ㄱ,0.2748203474423737,0.1859510668747638,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.08175372513665985,0.6111877116652594,0.2952622901320793,0.13374409651046423,0.5741203619540105,0.257467608883461,0.22712248116639408
18,ㅓ,0.2564845175097478,0.17427765612312113,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.07370419994906344,0.6393796322710621,0.3010384112957635,0.1856495420128121,0.48883920135529285,0.3663827498043259,0.1525254320090447
19,ㅎ,0.40922787139966577,0.17260472983186412,회전이 **거의 영향을 주지 않음**. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.3498466719497648,0.7183280314723879,0.5153998316644297,0.17644817897632997,0.4196427546260315,0.4821176106560802,0.16149329744855007
20,ㅈ,0.3161853785746832,0.14584010183226695,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.21133713935853476,0.6635351553635948,0.4018875198477523,0.25446562796780053,0.4782718993393548,0.3120553421569949,0.11621371560418878
21,ㅌ,0.2586769632308649,0.1283149941352681,회전이 **거의 영향을 주지 않음**. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.11275664525719109,0.5997721082401614,0.3113320236868089,0.16022806921914615,0.32556081135279774,0.42953870801113186,0.1358151555003289
22,ㄴ,0.205539071568353,0.12448754584875275,회전이 **거의 영향을 주지 않음**. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.01906631802987871,0.5741330668742577,0.23905515021492546,0.14360815093932738,0.37737357802629234,0.34799980674389186,0.12733488805968396
23,ㄹ,0.2003402574095862,0.09578827405821487,회전이 **거의 영향을 주지 않음**. 주로 **손목 비틀림(roll)** 변화에 민감한 클래스.,-0.03635031087064583,0.5504400397122661,0.2411804735887735,0.1642375317385092,0.2969620743383188,0.3716402145974473,0.10504641965814922
24,ㅊ,0.23766823161430406,0.08609409393329388,회전이 **거의 영향을 주지 않음**. 주로 **상하 기울기(pitch)** 변화에 민감한 클래스.,-0.10833322883465615,0.5273284219432244,0.2798294548382311,0.1462150864229846,0.4216613744132733,0.2478296792688436,0.13929204409180773
